start_time,peak_time,end_time,goes_class,hpc_x,hpc_y,noaa
2011-02-18 10:23:00,2011-02-18 10:26:00,2011-02-18 10:37:00,M1.0,-38.0,345.0,11162
2011-02-18 12:59:00,2011-02-18 13:03:00,2011-02-18 13:06:00,M1.4,806.0,-268.0,11158
2011-02-18 14:00:00,2011-02-18 14:08:00,2011-02-18 14:15:00,M1.0,729.0,-268.0,11162
2011-02-18 20:56:00,2011-02-18 21:04:00,2011-02-18 21:14:00,M1.3,-38.4,345.0,11162
2011-03-08 19:46:00,2011-03-08 20:16:00,2011-03-08 21:19:00,M1.4,883.0,-345.0,11165
2011-09-24 16:36:00,2011-09-24 16:59:00,2011-09-24 17:15:00,M1.7,883.0,345.0,11295
2011-09-28 13:24:00,2011-09-28 13:28:00,2011-09-28 13:30:00,M1.2,-38.0,115.0,11302
2012-06-14 12:52:00,2012-06-14 14:35:00,2012-06-14 15:56:00,M1.9,-115.0,-270.0,11504
2012-07-02 19:59:00,2012-07-02 20:07:00,2012-07-02 20:13:00,M3.8,1.0,-325.567,11515
2012-07-04 23:47:00,2012-07-04 23:55:00,2012-07-05 00:02:00,M1.2,345.6,-345.6,11515
2012-07-06 08:17:00,2012-07-06 08:23:00,2012-07-06 08:27:00,M1.5,-883.2,-345.6,11515
2012-07-06 23:01:00,2012-07-06 23:08:00,2012-07-06 23:14:00,X1.1,806.0,-268.0,11515
2012-07-07 08:18:00,2012-07-07 08:28:00,2012-07-07 08:39:00,M1.0,-883.0,-268.0,11520
2012-07-09 23:03:00,2012-07-09 23:07:00,2012-07-09 23:11:00,M1.1,-576.0,-345.0,11520
2012-07-10 04:58:00,2012-07-10 05:14:00,2012-07-10 05:31:00,M1.7,-499.0,-268.0,11520
2012-09-30 04:27:00,2012-09-30 04:33:00,2012-09-30 04:42:00,M1.3,883.0,192.0,11583
2012-10-08 11:05:00,2012-10-08 11:17:00,2012-10-08 11:23:00,M2.3,-960.0,268.0,0
2012-10-09 23:22:00,2012-10-09 23:31:00,2012-10-09 23:35:00,M1.7,-883.0,-499.0,0
2012-10-10 04:51:00,2012-10-10 05:04:00,2012-10-10 05:20:00,M1.0,-806.0,-499.0,0
2012-10-20 18:05:00,2012-10-20 18:14:00,2012-10-20 18:19:00,M9.0,-960,-192,11598
2012-10-23 03:13:00,2012-10-23 03:17:00,2012-10-23 03:21:00,X1.8,-806.4,-268.8,11598
2012-11-08 02:08:00,2012-11-08 02:23:00,2012-11-08 02:55:00,M1.7,-960,268.8,11611
2012-11-11 02:11:00,2012-11-11 02:33:00,2012-11-11 02:52:00,M1.0,960,268.8,11614
2012-11-12 23:13:00,2012-11-12 23:28:00,2012-11-12 23:33:00,M2.0,-652.8,-422.4,11613
2012-11-13 01:58:00,2012-11-13 02:04:00,2012-11-13 02:06:00,M6.0,-652.8,-422.4,11613
2012-11-13 05:42:00,2012-11-13 05:50:00,2012-11-13 05:54:00,M2.5,-576,-422.4,11613
2012-11-14 03:59:00,2012-11-14 04:04:00,2012-11-14 04:07:00,M1.1,-422.4,422.4,11613
2012-11-20 12:36:00,2012-11-20 12:41:00,2012-11-20 12:46:00,M1.7,960,192,0
2012-11-21 15:10:00,2012-11-21 15:30:00,2012-11-21 15:38:00,M3.5,-115.2,115.2,11618
2013-08-17 18:49:00,2013-08-17 19:33:00,2013-08-17 19:54:00,M1.4,499.2,-192,11818
2013-10-09 01:23:00,2013-10-09 01:48:00,2013-10-09 01:56:00,M2.8,192,38.4,11865
2013-10-11 07:01:00,2013-10-11 07:25:00,2013-10-11 07:45:00,M1.5,-268.8,-268.8,0
2013-10-17 15:09:00,2013-10-17 15:41:00,2013-10-17 15:58:00,M1.2,-960,38.4,11861
2013-10-23 20:41:00,2013-10-23 20:53:00,2013-10-23 20:59:00,M2.7,115.2,38.4,11875
2013-10-23 23:58:00,2013-10-24 00:08:00,2013-10-24 00:16:00,M3.1,115.2,38.4,11875
2013-10-24 10:30:00,2013-10-24 10:33:00,2013-10-24 10:37:00,M3.5,192,38.4,11875
2013-10-25 02:48:00,2013-10-25 03:02:00,2013-10-25 03:12:00,M2.9,-883.2,-115.2,11882
2013-10-25 07:53:00,2013-10-25 08:01:00,2013-10-25 08:09:00,X1.7,-883.2,-192,11882
