mcintosh_class, flare_productivity
AXX, 0.01
BXO, 0.01
BXI, 0.06
HRX, 0.01
HSX, 0.03
HAX, 0.03
HHX, 0.08
HKX, 0.10
CRO, 0.02
CRI, 0.04
CSO, 0.03
CSI, 0.08
CAO, 0.03
CAI, 0.13
CHO, 0.05
CHI, 0.19
CKO, 0.13
CKI, 0.27
DRO, 0.07
DRI, 0.12
DSO, 0.07
DSI, 0.13
DSC, 0.25
DAO, 0.07
DAI, 0.18
DAC, 0.28
DHO, 0.13
DHI, 0.08
DHC, 0.33
DKO, 0.27
DKI, 0.36
DKC, 0.68
ESO, 0.11
ESI, 0.24
EAO, 0.14
EAI, 0.35
EAC, 0.35
EHO, 0.15
EHI, 0.57
EHC, 1.33
EKO, 0.23
EKI, 0.55
EKC, 1.69
FRI, 0.50
FSO, 0.33
FSI, 1.07
FAO, 0.21
FAI, 0.42
FHO, 0.05
FHI, 0.86
FHC, 0.80
FKO, 0.30
FKI, 0.95
FKC, 1.54
