mcintosh_class, flare_productivity
AXX, 0.01
BXO, 0.02
BXI, 0.06
HRX, 0.04
HSX, 0.05
HAX, 0.06
HHX, 0.12
HKX, 0.18
CRO, 0.06
CRI, 0.05
CSO, 0.04
CSI, 0.09
CAO, 0.03
CAI, 0.11
CHO, 0.08
CHI, 0.21
CKO, 0.29
CKI, 0.22
DRO, 0.08
DRI, 0.15
DSO, 0.10
DSI, 0.13
DSC, 0.35
DAO, 0.10
DAI, 0.20
DAC, 0.28
DHO, 0.26
DHI, 0.07
DHC, 0.33
DKO, 0.37
DKI, 0.55
DKC, 0.82
ESO, 0.17
ESI, 0.20
EAO, 0.30
EAI, 0.60
EAC, 0.53
EHO, 0.15
EHI, 0.71
EHC, 2.00
EKO, 0.40
EKI, 1.41
EKC, 2.70
FRI, 0.50
FSO, 0.54
FSI, 1.88
FAO, 0.00
FAI, 0.67
FHO, 0.0
FHI, 0.83
FHC, 0.80
FKO, 0.32
FKI, 2.62
FKC, 1.93
