,noaa,number,hpc_x,hpc_y,classification,hale_classification,numspots
2011-02-13,"11156,11157,11158,11159",4,"341.26090478128936,286.72600388553496,-176.0955306829419,-144.32349803950638","-248.41953634641442,402.7037504965761,-209.54755079921256,422.1488681030156","BXO,CRO,DSI,BXO","BETA,BETA,BETA,BETA","2,5,12,4"
2011-02-27,"11163,11164,11165",3,"-664.6551767648198,-742.0540692547802,-614.6327421462629","378.120732329726,505.5890888590823,-278.8417337674671","DAI,DAO,BXO","BETA-GAMMA,BETA-GAMMA,BETA","9,7,3"
2011-02-28,"11163,11164,11165",3,"-489.8489877532702,-622.3615992614068,-440.1095519303344","396.2289529192345,512.6788746518738,-246.21572576394402","AXX,ESO,AXX","ALPHA,BETA-GAMMA,ALPHA","1,12,1"
2011-03-01,"11163,11164,11165",3,"-301.00633341865614,-475.51848026993684,-219.65416609542444","407.80307362249386,514.4112446409588,-235.14354887303864","AXX,EHC,BXO","ALPHA,BETA-GAMMA,BETA","1,19,4"
2011-03-02,"11163,11164,11165",3,"-81.02601253194734,-301.1762089226395,-47.18626391491853","398.46037349685565,511.43963349880215,-248.12898782382402","BXO,EKC,CSO","BETA,BETA-GAMMA-DELTA,BETA","2,31,9"
2011-03-03,"11164,11165,11166",3,"-122.54867253894918,140.9997863095201,-929.4893964657094","517.1609251052926,-249.1377438071106,193.89239548808425","EKC,BXO,HRX","BETA-GAMMA-DELTA,BETA,ALPHA","41,11,1"
2011-03-04,"11164,11165,11166,11167",4,"92.0208393210782,402.6946224924112,-867.6744014078286,-485.31522262562066","517.6182373419491,-209.68377416045712,201.4342909216079,334.89799790967487","EKC,BXO,DSO,BXO","BETA-GAMMA,BETA,BETA,BETA","21,5,3,2"
2011-05-29,"11216,11222,11223,11224,11225,11226",6,"909.8361929567856,832.6314195842627,189.98633254475297,419.13307513938025,-619.2658155914396,-812.5811353349127","-260.84385573678446,268.2985648176389,-245.10349692483058,339.766154780226,290.0945855421944,-301.5097466970239","HSX,AXX,BXO,DSO,HSX,EAI","ALPHA,ALPHA,BETA,BETA,ALPHA,BETA-DELTA","1,1,5,14,1,9"
2011-06-19,"11234,11236,11237",3,"795.395760628699,-280.1660173931159,-730.2062980895862","-271.775971782805,255.41458224699517,-258.75005827670395","DSI,ESI,AXX","BETA,BETA-GAMMA,ALPHA","15,21,1"
2011-06-30,"11240,11242,11243",3,"886.8076030188992,264.9213891616809,-696.7665021528956","-298.0436849743341,235.76585351093843,232.89123182697344","AXX,DSO,CSO","ALPHA,BETA,BETA","1,9,5"
2011-07-01,"11242,11243",2,"455.2202369503698,-535.0086900680326","221.9546728248226,224.45173217334826","DSO,CRO","BETA,BETA","8,6"
2011-07-02,"11242,11243,11244",3,"636.4703513086878,-339.37848624796607,174.6524211308039","259.53592152528176,233.66829982055438,198.99905405510435","DRO,CRO,BXO","BETA,BETA,BETA-GAMMA","5,10,6"
2011-07-18,"11250,11251,11254,11255,11256,11257",6,"632.0395754371771,126.82915389031429,-340.7312272670679,-109.87843810673803,-114.12325504864566,741.7052246451316","-458.84449151998314,188.56433238123813,-432.94862908143716,220.7030543147086,73.77515202717217,267.2061458664525","CSO,HSX,CAI,BXO,DRO,DAI","BETA,ALPHA,BETA,BETA,BETA,BETA","4,3,15,3,4,12"
