,noaa,number,hpc_x,hpc_y,classification,hale_classification,numspots
1996-01-01,0,1,0.0,50.59686,,,0
1996-01-02,"7937,7935",2,"-729.792,100.605","-118.9086,238.1562","AXX,BXO","ALPHA,BETA","1,4"
1996-01-03,"7935,7937,7934",3,"249.0738,-556.5246,839.022","238.5108,-91.9134,-108.9858","AXX,AXX,AXX","ALPHA,ALPHA,ALPHA","2,1,1"
1996-01-04,7938,1,248.187,256.8978,DSI,BETA,20
1996-01-05,"7939,7938",2,"-102.2508,435.1872","126.3144,254.34","BXO,DAI","BETA,BETA","7,21"
1996-01-07,"7939,7938",2,"350.8272,774.396","109.2996,238.8162","CSO,DKI","BETA,BETA","21,16"
1996-01-08,"7938,7939",2,"886.608,547.5642","226.2822,87.2922","CSO,CAO","BETA,BETA","10,15"
1996-01-09,"7940,7939,7938",3,"346.9374,726.558,944.31","213.9054,95.2182,226.965","BXO,CSO,CAO","BETA,BETA,BETA","4,13,6"
1996-01-10,"7940,7939",2,"553.3356,862.398","224.454,82.839","AXX,CSO","ALPHA,BETA","1,6"
1996-01-11,7939,1,947.382,50.81778,BXO,BETA,3
1996-01-12,0,1,0.0,71.5728,,,0
1996-01-13,0,1,0.0,73.3524,,,0
1996-01-14,0,1,0.0,75.1086,,,0
1996-01-15,0,1,0.0,76.8402,,,0
1996-01-16,0,1,0.0,78.5466,,,0
1996-01-17,0,1,0.0,80.2278,,,0
1996-01-18,7941,1,-185.6022,-39.24336,AXX,ALPHA,1
1996-01-19,0,1,0.0,83.511,,,0
1996-01-20,0,1,0.0,85.1118,,,0
1996-01-21,0,1,0.0,86.6856,,,0
1996-01-22,7942,1,413.88,79.929,BXO,BETA,4
1996-01-23,7942,1,602.538,70.6512,BXO,BETA,3
1996-01-24,0,1,0.0,91.2348,,,0
1996-01-25,7943,1,-851.322,243.2298,AXX,ALPHA,1
1996-01-26,7943,1,-743.058,260.1192,AXX,ALPHA,1
1996-01-27,7943,1,-577.8654,260.553,AXX,ALPHA,1
1996-01-28,7943,1,-375.351,273.306,AXX,ALPHA,1
1996-01-29,7943,1,-166.8432,280.7418,AXX,ALPHA,1
1996-01-30,7943,1,67.0182,283.2132,AXX,ALPHA,2
1996-01-31,"7944,7943",2,"647.712,281.7216","209.3898,263.8824","BXO,AXX","BETA,ALPHA","5,1"
1996-02-01,7944,1,819.972,188.5614,BXO,BETA,4
1996-02-02,7944,1,907.662,169.8432,CSO,BETA,5
1996-02-03,7944,1,958.446,160.4604,CAO,BETA,5
1996-02-04,0,1,0.0,105.5256,,,0
1996-02-05,0,1,0.0,106.626,,,0
1996-02-06,0,1,0.0,107.6916,,,0
1996-02-07,0,1,0.0,108.7224,,,0
1996-02-08,0,1,0.0,109.7178,,,0
1996-02-09,0,1,0.0,110.6784,,,0
1996-02-10,0,1,0.0,111.6024,,,0
1996-02-11,0,1,0.0,112.491,,,0
1996-02-12,0,1,0.0,113.343,,,0
1996-02-13,0,1,0.0,114.159,,,0
1996-02-14,0,1,0.0,114.9384,,,0
1996-02-15,0,1,0.0,115.6806,,,0
1996-02-16,7945,1,84.5958,216.5856,AXX,ALPHA,1
1996-02-17,0,1,0.0,117.0552,,,0
1996-02-18,0,1,0.0,117.687,,,0
1996-02-19,0,1,0.0,118.281,,,0
1996-02-20,7946,1,-907.782,189.0198,BXO,BETA,2
1996-02-21,7946,1,-805.842,215.1024,BXO,BETA,4
1996-02-22,"7947,7946",2,"619.848,-669.618","-146.1216,219.6912","AXX,BXO","ALPHA,BETA","1,5"
1996-02-23,"7946,7947",2,"-482.1984,785.7","237.5778,-151.7214","BXO,BXO","BETA,BETA","4,2"
1996-02-24,7946,1,-296.4096,280.8234,AXX,ALPHA,2
1996-02-25,"7946,7948",2,"0.0,436.5318","319.3104,257.5776","AXX,CAO","ALPHA,BETA","1,8"
1996-02-26,"7948,7946",2,"617.568,246.4734","242.7138,315.4836","CAO,AXX","BETA,ALPHA","8,1"
1996-02-27,"7948,7946",2,"774.18,400.692","237.7002,324.5532","DRO,AXX","BETA,ALPHA","5,1"
1996-02-29,7949,1,-83.2674,-64.7922,AXX,ALPHA,1
1996-03-01,"7949,7946",2,"115.9896,769.794","-81.9372,190.3374","BXO,AXX","BETA,ALPHA","6,1"
1996-03-02,0,1,0.0,122.4648,,,0
1996-03-03,0,1,0.0,122.5656,,,0
1996-03-04,0,1,0.0,122.6292,,,0
1996-03-05,0,1,0.0,122.6544,,,0
1996-03-06,0,1,0.0,122.6412,,,0
1996-03-07,"7951,7950",2,"-33.88632,860.106","88.8072,203.2896","BXO,AXX","BETA,ALPHA","2,2"
1996-03-08,0,1,0.0,122.502,,,0
1996-03-09,0,1,0.0,122.376,,,0
1996-03-10,0,1,0.0,122.2128,,,0
1996-03-11,0,1,0.0,122.0118,,,0
1996-03-12,7952,1,-582.5616,46.701,BXO,BETA,8
1996-03-13,7952,1,-362.7384,62.1144,DAO,BETA,17
1996-03-14,7952,1,-151.3182,52.29144,DSO,BETA,14
1996-03-15,7952,1,67.4592,53.15754,DAO,BETA,7
1996-03-16,7952,1,232.6836,-1.185726,CSO,BETA,5
1996-03-17,7952,1,511.8198,34.46046,CSO,BETA,5
1996-03-18,7952,1,716.964,12.75126,HRX,ALPHA,2
1996-03-19,7952,1,841.692,-26.17692,AXX,ALPHA,1
1996-03-20,7952,1,925.182,-34.30434,AXX,ALPHA,1
1996-03-21,0,1,0.0,117.9978,,,0
1996-03-22,7953,1,-390.3852,223.3758,BXO,BETA,5
1996-03-23,7953,1,-166.2894,247.455,DSI,BETA-GAMMA,11
1996-03-24,7953,1,33.49098,232.1328,CSO,BETA-GAMMA,14
1996-03-25,7953,1,280.4376,226.4364,DSO,BETA,7
1996-03-26,7953,1,479.256,215.3562,DAO,BETA,7
1996-03-27,"7954,7953",2,"407.871,640.824","136.5894,200.6796","CAO,CAO","BETA,BETA","7,5"
1996-03-28,"7954,7953",2,"607.11,811.146","104.517,175.989","CRO,CSO","BETA,BETA","5,4"
1996-03-29,"7954,7953",2,"769.728,906.396","67.4424,167.277","BXO,HSX","BETA,ALPHA","3,1"
1996-03-30,"7953,7954",2,"948.18,872.388","142.4478,63.6384","AXX,AXX","ALPHA,ALPHA","1,1"
1996-03-31,0,1,0.0,110.5098,,,0
